URL,Title,Name,Address,Building Size,Lot Size,Year Built,Construction,Water,Sewer,Heating,Gas,Sprinkler System,Year Built/Renovated,Truck Court,Lighting,Building Type,Building Height,Building Class,Typical Floor Size,Column Spacing,Sustainability,Unfinished Ceiling Height,Sale Type,Sale Condition,Property Type,Property Subtype,Tenancy,Building FAR,Land Acres,Percent Leased,Price,Price Per SF,Cap Rate,NOI,Loading Docks,Slab To Slab,Opportunity Zone,Sale Conditions,Construction Status,LoopNet Rating
https://www.loopnet.com/Listing/850-3rd-Ave-Brooklyn-NY/18772064/,"Brooklyn, NY Office, Industrial for Lease - 850 3rd Ave","Brooklyn, NY Office, Industrial for Lease - 850 3rd Ave","850 3rd Ave, Brooklyn, NY 11232","1,291,869 SF",3.65 AC,,Masonry,,,Gas,,Wet,1920/2020,,Fluorescent,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.loopnet.com/Listing/99A-Caven-Point-Rd-Jersey-City-NJ/28939187/,"Jersey City, NJ Industrial for Lease - 99A Caven Point Rd","Jersey City, NJ Industrial for Lease - 99A Caven Point Rd","99A Caven Point Rd, Jersey City, NJ 07305","348,000 SF",15.66 AC,,Reinforced Concrete,City,City,Gas,Natural,Wet,1994/2001,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.loopnet.com/Listing/140-58th-St-Brooklyn-NY/31232388/,"Brooklyn, NY Industrial for Lease - 140 58th St","Brooklyn, NY Industrial for Lease - 140 58th St","140 58th St, Brooklyn, NY 11220",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.loopnet.com/Listing/450-25th-St-Greeley-CO/31138130/,"Greeley, CO Industrial for Lease - 450 25th St","Greeley, CO Industrial for Lease - 450 25th St","450 25th St, Greeley, CO 80631","76,352 SF",3.67 AC,1983,Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.loopnet.com/Listing/109-15-178th-St-Jamaica-NY/29519748/,"Jamaica, NY Industrial for Lease - 109-15 178th St","Jamaica, NY Industrial for Lease - 109-15 178th St","109-15 178th St, Jamaica, NY 11433","51,324 SF",1.18 AC,1950,,,,,,Wet,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.loopnet.com/Listing/184-10-Jamaica-Ave-Jamaica-NY/31807586/,"Jamaica, NY Industrial for Lease - 184-10 Jamaica Ave","Jamaica, NY Industrial for Lease - 184-10 Jamaica Ave","184-10 Jamaica Ave, Jamaica, NY 11423","190,088 SF",1.38 AC,,,,,,,,1923/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.loopnet.com/Listing/9022-Telegraph-Rd-Lorton-VA/15362588/,"Lorton, VA Industrial for Lease - 9022 Telegraph Rd","Lorton, VA Industrial for Lease - 9022 Telegraph Rd","9022 Telegraph Rd, Lorton, VA 22079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.loopnet.com/Listing/15402-Vantage-Pky-E-Houston-TX/14105859/,"Houston, TX Industrial for Lease - 15402 Vantage Pky E","Houston, TX Industrial for Lease - 15402 Vantage Pky E","15402 Vantage Pky E, Houston, TX 77032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.loopnet.com/Listing/8600-NW-South-River-Dr-Medley-FL/29491542/,"Medley, FL Industrial for Lease - 8600 NW South River Dr","Medley, FL Industrial for Lease - 8600 NW South River Dr","8600 NW South River Dr, Medley, FL 33166","180,000 SF",8.60 AC,,Masonry,,,,,,1970/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.loopnet.com/Listing/15534-W-Hardy-Rd-Houston-TX/29461899/,"Houston, TX Multiple Space Uses for Lease - 15534 W Hardy Rd","Houston, TX Multiple Space Uses for Lease - 15534 W Hardy Rd","15534 W Hardy Rd, Houston, TX 77060",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
